date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:02	45315/45315	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Aug%202015%2012:19:42%20GMT	http://geektyper.com/ASSETS/fonts/hacker1/hacker1-webfont.svg	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/hacker1/hacker1-webfont.svg	(from http://geektyper.com/ASSETS/style.css)
00:08:02	36156/36156	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2027%20Aug%202015%2012:19:42%20GMT	http://geektyper.com/ASSETS/fonts/hacker1/hacker1-webfont.ttf	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/hacker1/hacker1-webfont.ttf	(from http://geektyper.com/ASSETS/style.css)
00:08:03	11979/11979	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Aug%202015%2012:18:46%20GMT	http://geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.eot	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.eot	(from http://geektyper.com/ASSETS/style.css)
00:08:03	14008/14008	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2027%20Aug%202015%2012:18:46%20GMT	http://geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.woff	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.woff	(from http://geektyper.com/ASSETS/style.css)
00:08:05	28095/28095	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Aug%202015%2012:18:46%20GMT	http://geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.svg	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.svg	(from http://geektyper.com/ASSETS/style.css)
00:08:06	22640/22640	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2027%20Aug%202015%2012:18:46%20GMT	http://geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.ttf	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/hacker2/hacker2-webfont.ttf	(from http://geektyper.com/ASSETS/style.css)
00:08:07	15516/15516	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2015%20Jan%202015%2012:55:02%20GMT	http://geektyper.com/ASSETS/fonts/matrix/mCode15.eot	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/matrix/mCode15.eot	(from http://geektyper.com/ASSETS/style.css)
00:08:08	18652/18652	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2015%20Jan%202015%2012:55:02%20GMT	http://geektyper.com/ASSETS/fonts/matrix/mCode15.woff	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/matrix/mCode15.woff	(from http://geektyper.com/ASSETS/style.css)
00:08:09	58052/58052	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2015%20Jan%202015%2012:55:02%20GMT	http://geektyper.com/ASSETS/fonts/matrix/mCode15.svg	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/matrix/mCode15.svg	(from http://geektyper.com/ASSETS/style.css)
00:08:09	15416/15416	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2015%20Jan%202015%2012:55:02%20GMT	http://geektyper.com/ASSETS/fonts/matrix/mCode15.ttf	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/matrix/mCode15.ttf	(from http://geektyper.com/ASSETS/style.css)
